lat,lng,elevation
(49.3316669294173, 19.98258325417329),881.6813354492188
(49.33249549090757, 19.9819011338868),857.2083129882812
(49.33332404838364, 19.98121899063721),833.7129516601562
(49.33415260184526, 19.98053682442318),810.1090698242188
(49.33498115129218, 19.97985463524336),794.2003784179688
(49.33580969672416, 19.97917242309645),806.5696411132812
(49.33663823814092, 19.9784901879811),819.68359375
(49.33746677554223, 19.97780792989597),840.4229736328125
(49.33829530892783, 19.97712564883973),862.4363403320312
(49.33912383829746, 19.97644334481105),883.359375
(49.33995236365087, 19.97576101780859),905.8269653320312
(49.34078088498783, 19.97507866783102),929.5004272460938
(49.34160940230807, 19.97439629487701),947.9993896484375
(49.34243791561131, 19.97371389894521),968.101318359375
(49.34326642489734, 19.97303148003429),979.75048828125
(49.34409493016589, 19.97234903814294),967.5594482421875
(49.3449234314167, 19.97166657326979),948.5471801757812
(49.34575192864953, 19.97098408541352),927.5792236328125
(49.34658042186413, 19.9703015745728),910.3515014648438
(49.34740891106023, 19.96961904074628),894.2385864257812
(49.34823739623759, 19.96893648393265),880.244384765625
(49.34906587739594, 19.96825390413056),864.8609619140625
(49.34989435453505, 19.96757130133867),849.4578247070312
(49.35072282765466, 19.96688867555564),843.1530151367188
(49.35155129675451, 19.96620602678016),856.5367431640625
(49.35237976183434, 19.96552335501087),877.3486328125
(49.35320822289393, 19.96484066024644),898.042236328125
(49.354036679933, 19.96415794248554),920.1319580078125
(49.35486513295128, 19.96347520172683),942.0877075195312
(49.35569358194856, 19.96279243796898),960.5625610351562
(49.35652202692457, 19.96210965121064),958.3239135742188
(49.35735046787904, 19.96142684145049),943.9580688476562
(49.35817890481172, 19.96074400868719),930.657470703125
(49.35900733772238, 19.96006115291939),926.483154296875
(49.35983576661075, 19.95937827414577),933.6066284179688
(49.3606641914766, 19.95869537236499),952.71875
(49.36149261231964, 19.9580124475757),971.3148803710938
(49.36232102913962, 19.95732949977658),989.7191162109375
(49.36314944193631, 19.9566465289663),1001.303588867188
(49.36397785070945, 19.9559635351435),994.897705078125
(49.36480625545879, 19.95528051830685),976.4349975585938
(49.36563465618406, 19.95459747845503),963.7786254882812
(49.36646305288502, 19.95391441558668),944.6532592773438
(49.36729144556141, 19.95323132970047),929.5006103515625
(49.36811983421299, 19.95254822079507),914.72998046875
(49.36894821883951, 19.95186508886914),913.98974609375
(49.36977659944067, 19.95118193392134),918.0283203125
(49.37060497601627, 19.95049875595033),923.0744018554688
(49.37143334856603, 19.94981555495478),916.8853759765625
(49.37226171708971, 19.94913233093335),900.8731079101562
(49.37309008158704, 19.94844908388469),879.8042602539062
(49.37391844205778, 19.94776581380748),862.6639404296875
(49.37474679850168, 19.94708252070037),849.4784545898438
