lat,lng,elevation
(52.51749107221232, 16.62716028604049),87.12608337402344
(52.51489792984844, 16.62595898089751),88.99552917480469
(52.51230477532311, 16.62475781753481),87.47566223144531
(52.50971160863887, 16.62355679592302),89.24128723144531
(52.50711842979833, 16.62235591603281),88.54576110839844
(52.50452523880403, 16.62115517783483),87.64383697509766
(52.50193203565856, 16.61995458129975),88.93927764892578
(52.49933882036449, 16.61875412639827),90.79817199707031
(52.4967455929244, 16.61755381310104),88.75699615478516
(52.49415235334084, 16.61635364137877),89.13106536865234
(52.4915591016164, 16.61515361120216),87.93423461914062
(52.48896583775364, 16.61395372254193),88.05156707763672
(52.48637256175513, 16.61275397536876),85.3166732788086
(52.48377927362343, 16.61155436965342),85.7552490234375
(52.48118597336112, 16.6103549053666),85.07731628417969
(52.47859266097078, 16.60915558247906),83.08109283447266
(52.47599933645493, 16.60795640096154),84.86516571044922
(52.47340599981618, 16.60675736078479),91.80247497558594
(52.47081265105707, 16.60555846191958),107.8664169311523
(52.46821929018018, 16.60435970433667),80.97408294677734
(52.46562591718805, 16.60316108800684),77.76145935058594
(52.46303253208327, 16.60196261290088),77.54071807861328
(52.46043913486837, 16.60076427898958),79.07413482666016
(52.45784572554594, 16.59956608624374),81.12968444824219
(52.45525230411853, 16.59836803463416),83.40095520019531
(52.45265887058871, 16.59717012413166),88.52062225341797
(52.45006542495901, 16.59597235470705),94.070068359375
(52.44747196723202, 16.59477472633119),93.58074188232422
(52.44487849741027, 16.59357723897489),93.248779296875
(52.44228501549635, 16.59237989260901),95.7711181640625
(52.43969152149278, 16.59118268720438),96.62569427490234
(52.43709801540214, 16.5899856227319),96.0418930053711
(52.43450449722697, 16.5887886991624),92.09284210205078
(52.43191096696984, 16.58759191646678),91.56535339355469
(52.4293174246333, 16.58639527461592),90.33365631103516
(52.42672387021989, 16.5851987735807),88.418701171875
(52.42413030373217, 16.58400241333203),88.12213897705078
(52.42153672517269, 16.58280619384081),88.33684539794922
(52.418943134544, 16.58161011507796),88.00552368164062
(52.41634953184867, 16.58041417701439),88.26283264160156
(52.4137559170892, 16.57921837962103),87.11459350585938
(52.41116229026819, 16.57802272286883),87.24666595458984
(52.40856865138816, 16.57682720672872),86.51815795898438
